id,title,description,category,brand,price,color,gender,rating,created_at
60,Minimalist A-Line Skirt with Zip Detail,"Made with leather for a premium hand-feel. Designed for training with a wrinkle-resistant silhouette. Details: tapered leg, contrast stitching, and reinforced seams. Fit notes: true to size; size up for a more relaxed drape. Care: machine wash cold or dry clean as needed.",Bottoms,Minimalist,67.36,Black,Men,4.13,2025-01-05 02:40:00 
61,Chanel Studio Denim Jacket,"Comfortable, flattering, and designed to last.",Outerwear,Chanel,1025.99,Black,Women,3.98,2025-10-26 01:11:00 
62,Prada One-Piece Swimsuit with Belt,"Featuring the Prada One-Piece Swimsuit with Belt, this product offers comfort and durability. Everyday essential.",Swimwear,Prada,248.92,Red,Men,4.02,2025-04-18 05:10:00 
63,Gucci Signature Slim A-Line Skirt,An easy-to-style piece with a modern fit.,Bottoms,Gucci,95.21,Black,Women,3.74,2024-08-30 13:21:00 
64,Elegante Slim Off-Shoulder Dress,"Featuring the Elegante Slim Off-Shoulder Dress, this product offers comfort and durability. Comfortable, flattering, and designed to last.",Dresses,Elegante,443.89,Purple,Women,4.61,2024-08-29 00:09:00 
65,Asisas Cotton T-Shirt with Graphic Print,"Featuring the Asisas Cotton T-Shirt with Graphic Print, this product offers comfort and durability. An easy-to-style piece with a modern fit.",Tops,Asisas,52.66,Blue,Men,4.22,2025-04-15 17:31:00 
66,Prada Oxford Shirt with Belt,"Customers choose the Prada Oxford Shirt with Belt for its reliability. Made with modal for a premium hand-feel. Designed for evening with a insulated silhouette. Details: lace trim, hidden side zipper, and reinforced seams. Fit notes: true to size; size up for a more relaxed drape. Care: machine wash cold or dry clean as needed.",Tops,Prada,273.29,Orange,Women,4.57,2025-09-19 07:17:00 
67,Louis Vuitton City Retro Strappy Sandals,"Comfortable, flattering, and designed to last.",Footwear,Louis Vuitton,346.42,Orange,Women,4.49,2025-07-05 02:52:00 
68,Gucci City Leather Belt,A classic essential with elevated details.,Accessories,Gucci,1003.5,Brown,Men,3.87,2025-06-27 13:24:00 
69,Minimalist Women Beanie Hat,"Made with sterling silver for a premium hand-feel. Designed for street style with a four-way stretch silhouette. Details: functional pockets, lace trim, and reinforced seams. Fit notes: true to size; size up for a more relaxed drape. Care: machine wash cold or dry clean as needed. Finishing touch: pairs easily with both minimalist and statement looks.",Accessories,Minimalist,39.8,Black,Women,3.97,2024-10-06 02:04:00 
70,Balenciaga Seamless Briefs with Zip Detail,A classic essential with elevated details.,Lingerie & Sleepwear,Balenciaga,96.83,Purple,Women,3.89,2025-05-31 11:52:00 
71,Gucci Structured Blazer,"Comfortable, flattering, and designed to last.",Suits & Blazers,Gucci,323.17,Blue,Men,4.1,2025-04-02 21:51:00 
72,Gucci Modal Lounge Set,"This Gucci Modal Lounge Set is designed for everyday use. Made with modal for a premium hand-feel. Designed for street style with a high-waisted silhouette. Details: functional pockets, subtle logo hardware, and reinforced seams. Fit notes: true to size; size up for a more relaxed drape. Care: machine wash cold or dry clean as needed.",Lingerie & Sleepwear,Gucci,245.59,Yellow,Women,3.94,2024-09-27 21:05:00 
73,Minimalist Relaxed Graphic T-Shirt,"Comfortable, flattering, and designed to last.",Tops,Minimalist,16.18,Green,Women,4.3,2025-04-29 13:47:00 
74,Asisas Cushioned Running Shoes with Belt,"Comfortable, flattering, and designed to last.",Footwear,Asisas,210.46,Red,Men,4.1,2024-12-30 11:39:00 
75,GymClark Cocktail Dress,A classic essential with elevated details.,Dresses,GymClark,370.45,Purple,Women,4.5,2025-12-20 04:02:00 
76,Asisas Cover-Up Dress,"Featuring the Asisas Cover-Up Dress, this product offers comfort and durability. Comfortable, flattering, and designed to last.",Swimwear,Asisas,26,Black,Unisex,3.93,2025-04-27 18:53:00 
77,Balenciaga Modern Oversized Blazer Coat,"Comfortable, flattering, and designed to last.",Outerwear,Balenciaga,763.78,Yellow,Women,4.18,2025-10-26 01:57:00 
78,Minimalist City Relaxed Cocktail Dress Edition,"Made with viscose for a premium hand-feel. Designed for training with a easy-care silhouette. Details: mesh panels, structured shoulders, and reinforced seams. Fit notes: true to size; size up for a more relaxed drape. Care: machine wash cold or dry clean as needed.",Dresses,Minimalist,595.7,White,Women,4.26,2025-10-15 09:20:00 
79,Minimalist Classic Wide-Leg Trousers,"Made with linen for a premium hand-feel. Designed for training with a breathable silhouette. Details: tapered leg, elastic waistband, and reinforced seams. Fit notes: true to size; size up for a more relaxed drape. Care: machine wash cold or dry clean as needed.",Bottoms,Minimalist,194.59,Pink,Women,4.11,2024-09-12 11:57:00 
80,StreetWear Signature Quilted Parka,A classic essential with elevated details.,Outerwear,StreetWear,472.63,White,Unisex,4.46,2024-10-23 06:15:00 
81,UrbanChic Retro Leather Loafers,"Customers choose the UrbanChic Retro Leather Loafers for its reliability. Made with rubber for a premium hand-feel. Designed for everyday wear with a water-resistant silhouette. Details: lace trim, elastic waistband, and reinforced seams. Fit notes: true to size; size up for a more relaxed drape. Care: machine wash cold or dry clean as needed. Comfort notes: cushioned insole and grippy outsole for all-day wear.",Footwear,UrbanChic,52.32,Red,Men,4.94,2024-12-22 03:43:00 
82,Elegante Cotton T-Shirt with Graphic Print,A classic essential with elevated details.,Tops,Elegante,107.95,White,Unisex,4.15,2025-09-25 01:11:00 
83,Zana Classic Ankle Boots with Zip Detail,The Zana Classic Ankle Boots with Zip Detail stands out for its quality and style. Classic fit.,Footwear,Zana,648.37,Brown,Women,4.11,2024-07-25 18:07:00 
84,Mango Pleated Chinos,An easy-to-style piece with a modern fit.,Bottoms,Mango,376.72,Brown,Men,4.64,2025-02-08 20:56:00 
85,Minimalist Sports Cap,The Minimalist Sports Cap stands out for its quality and style. A classic essential with elevated details.,Accessories,Minimalist,18.37,White,Men,3.83,2024-10-09 11:15:00 
86,Minimalist Relaxed Graphic T-Shirt,"Featuring the Minimalist Relaxed Graphic T-Shirt, this product offers comfort and durability. A versatile staple for everyday wear.",Tops,Minimalist,17.61,Yellow,Women,3.77,2025-05-21 03:53:00 
87,Prada Silk Scarf with Lace Trim,A classic essential with elevated details.,Accessories,Prada,27.7,Yellow,Women,4.23,2026-01-05 15:33:00 
88,Louis Vuitton Studio Leather Loafers,"Featuring the Louis Vuitton Studio Leather Loafers, this product offers comfort and durability. Made with suede for a premium hand-feel. Designed for everyday wear with a slim fit silhouette. Details: structured shoulders, adjustable straps, and reinforced seams. Fit notes: true to size; size up for a more relaxed drape. Care: machine wash cold or dry clean as needed. Comfort notes: cushioned insole and grippy outsole for all-day wear.",Footwear,Louis Vuitton,94.11,Black,Men,3.9,2025-05-06 11:13:00 
89,Minimalist Classic Wide-Leg Trousers,An easy-to-style piece with a modern fit.,Bottoms,Minimalist,395.05,Green,Women,4.47,2024-09-12 16:34:00 
90,Niky Board Shorts with Belt,"Customers choose the Niky Board Shorts with Belt for its reliability. Made with quick-dry poly for a premium hand-feel. Designed for training with a lightweight silhouette. Details: hidden side zipper, lace trim, and reinforced seams. Fit notes: true to size; size up for a more relaxed drape. Care: machine wash cold or dry clean as needed.",Swimwear,Niky,224.27,Brown,Women,4.25,2024-11-26 02:04:00 
91,UrbanChic Modern A-Line Skirt - Outlet,Customers choose the UrbanChic Modern A-Line Skirt - Outlet for its reliability. A classic essential with elevated details.,Bottoms,UrbanChic,48.61,Blue,Men,2.11,2025-04-04 12:21:00 
92,Asisas Signature Running Shoes with Graphic Print,"Made with rubber for a premium hand-feel. Designed for training with a four-way stretch silhouette. Details: functional pockets, soft-touch lining, and reinforced seams. Fit notes: true to size; size up for a more relaxed drape. Care: machine wash cold or dry clean as needed. Comfort notes: cushioned insole and grippy outsole for all-day wear.",Footwear,Asisas,224.37,Black,Women,5,2025-10-02 15:27:00 
93,Balenciaga Little Black Dress,A classic essential with elevated details.,Dresses,Balenciaga,1149.74,Brown,Women,4.02,2025-05-07 09:45:00 
94,Niky City Slim Denim Shorts with Belt,,Bottoms,Niky,405.08,Yellow,Women,3.78,2025-05-23 04:49:00 
95,GymClark Modern Set of 3 Jewelry Pieces,This GymClark Modern Set of 3 Jewelry Pieces is designed for everyday use. An easy-to-style piece with a modern fit.,Accessories,GymClark,270,Brown,Men,4.19,2025-10-11 21:51:00 
96,Louis Vuitton Tailored Blazer,The Louis Vuitton Tailored Blazer stands out for its quality and style. A classic essential with elevated details.,Suits & Blazers,Louis Vuitton,1952.04,White,Unisex,4.46,2024-11-23 02:15:00 
97,Gucci Studio Off-Shoulder Dress - Outlet,"Comfortable, flattering, and designed to last.",Dresses,Gucci,462.12,Pink,Women,1.3,2025-12-03 16:08:00 
98,Elegante City Leather Pants,Everyday essential.,Bottoms,Elegante,458.36,White,Women,4.01,2024-12-30 14:04:00 
99,Gucci Heritage Double-Breasted Blazer,"Made with linen for a premium hand-feel. Designed for weekend with a breathable silhouette. Details: lace trim, mesh panels, and reinforced seams. Fit notes: true to size; size up for a more relaxed drape. Care: machine wash cold or dry clean as needed.",Suits & Blazers,Gucci,2315.41,White,Women,4.14,2025-05-25 12:44:00 
100,Minimalist Denim Shorts,A versatile staple for everyday wear.,Bottoms,Minimalist,43.11,White,Women,4.04,2025-11-21 21:35:00 
101,Gucci Modal Lounge Set,A classic essential with elevated details.,Lingerie & Sleepwear,Gucci,443.4,Purple,Women,4.27,2025-03-22 22:49:00 
102,Asisas Cushioned Running Shoes with Belt,"Made with suede for a premium hand-feel. Designed for formal events with a four-way stretch silhouette. Details: hidden side zipper, soft-touch lining, and reinforced seams. Fit notes: true to size; size up for a more relaxed drape. Care: machine wash cold or dry clean as needed. Comfort notes: cushioned insole and grippy outsole for all-day wear.",Footwear,Asisas,105.86,Red,Men,3.79,2025-09-21 06:54:00 
103,Prada Seamless Sports Bra,"Made with moisture-wicking poly for a premium hand-feel. Designed for formal events with a oversized silhouette. Details: lace trim, contrast stitching, and reinforced seams. Fit notes: true to size; size up for a more relaxed drape. Care: machine wash cold or dry clean as needed. Performance notes: supportive compression and quick-dry finish for high-intensity sessions.",Activewear,Prada,61.61,White,Women,4.28,2025-11-03 22:53:00 
104,UrbanChic Women Modern Linen Trousers,"Made with cotton twill for a premium hand-feel. Designed for vacation with a insulated silhouette. Details: hidden side zipper, ribbed cuffs, and reinforced seams. Fit notes: true to size; size up for a more relaxed drape. Care: machine wash cold or dry clean as needed.",Bottoms,UrbanChic,129.5,Green,Women,4.21,2025-06-26 09:26:00 
105,Asisas Cushioned Running Shoes with Belt (Best Seller),"This Asisas Cushioned Running Shoes with Belt (Best Seller) is designed for everyday use. Made with rubber for a premium hand-feel. Designed for studio with a relaxed fit silhouette. Details: structured shoulders, contrast stitching, and reinforced seams. Fit notes: true to size; size up for a more relaxed drape. Care: machine wash cold or dry clean as needed. Comfort notes: cushioned insole and grippy outsole for all-day wear.",Footwear,Asisas,775.31,Green,Men,4.72,2025-10-12 23:22:00 
106,Mango Pleated Chinos,A classic essential with elevated details.,Bottoms,Mango,100,Brown,Unisex,4.56,2025-05-23 22:13:00 
107,Niky Yellow Puffer Jacket,A classic essential with elevated details.,Outerwear,Niky,440.39,Yellow,Men,4.13,2024-08-28 23:00:00 
108,Elegante Classic Satin Pajama Set,"Featuring the Elegante Classic Satin Pajama Set, this product offers comfort and durability. Made with lace for a premium hand-feel. Designed for formal events with a buttery-soft silhouette. Details: contrast stitching, lace trim, and reinforced seams. Fit notes: true to size; size up for a more relaxed drape. Care: machine wash cold or dry clean as needed.",Lingerie & Sleepwear,Elegante,100.58,Blue,Unisex,4.17,2025-02-23 02:10:00 
109,GymClark Classic Pumps,A classic essential with elevated details.,Footwear,GymClark,284.7,Blue,Men,4.32,2025-10-17 05:32:00 
110,Zana Oversized Blazer Coat with Graphic Print,"Comfortable, flattering, and designed to last.",Outerwear,Zana,483.97,Yellow,Women,4.4,2025-09-19 03:26:00 
111,Balenciaga City Double-Breasted Blazer with Ribbed Hem,"This Balenciaga City Double-Breasted Blazer with Ribbed Hem is designed for everyday use. Comfortable, flattering, and designed to last.",Suits & Blazers,Balenciaga,1310.92,Brown,Women,4.28,2025-09-04 00:31:00 
112,Mango Heritage Denim Jacket,"This Mango Heritage Denim Jacket is designed for everyday use. Comfortable, flattering, and designed to last.",Outerwear,Mango,477.11,White,Women,4.16,2025-10-17 10:28:00 
113,Prada Modern Silk Scarf,An easy-to-style piece with a modern fit.,Accessories,Prada,496.14,Gray,Men,3.68,2024-10-29 02:34:00 
114,Mango Classic Platform Sneakers,A classic essential with elevated details.,Footwear,Mango,43.61,Yellow,Men,4.9,2025-10-08 10:09:00 
115,GymClark Modern Slim Crop Top (Best Seller),"Made with cashmere for a premium hand-feel. Designed for workwear with a water-resistant silhouette. Details: elastic waistband, lace trim, and reinforced seams. Fit notes: true to size; size up for a more relaxed drape. Care: machine wash cold or dry clean as needed.",Tops,GymClark,134.87,Yellow,Women,4.66,2025-05-12 13:53:00 
116,StreetWear Studio Training Shorts,An easy-to-style piece with a modern fit.,Activewear,StreetWear,264.64,White,Unisex,4.74,2025-03-22 12:05:00 
117,UrbanChic Retro Leather Loafers,"Comfortable, flattering, and designed to last.",Footwear,UrbanChic,239.25,Purple,Men,4.37,2024-10-03 15:52:00 
118,Zana Modern Pleated Chinos,An easy-to-style piece with a modern fit.,Bottoms,Zana,35.53,Orange,Unisex,4.41,2026-01-13 09:21:00 
119,Niky Rash Guard with Lace Trim,A versatile staple for everyday wear.,Swimwear,Niky,171.83,Green,Women,4.03,2025-03-25 07:54:00 
120,Balenciaga Board Shorts,,Swimwear,Balenciaga,80.32,Pink,Men,4.39,2024-08-13 15:08:00 
121,Niky City Cargo Pants,A classic essential with elevated details.,Bottoms,Niky,205.76,Red,Men,4.61,2024-10-18 01:00:00 
